280|301
367|702
619|710
176|654
372|926
261|496
609|272
489|744
953|132
610|125
727|205
697|585
804|359
478|121
938|132
15|493
662|125
457|363
952|654
282|975
569|185
191|2
977|778
592|486
502|63
670|732
19|261
689|926
482|367
933|147
303|666
136|952
868|36
383|526
907|590
504|81
845|185
426|36
342|807
422|831
8|168
145|42
928|166
334|271
301|602
841|38
127|306
194|410
121|544
488|276
224|148
243|641
448|705
943|467
476|796
399|340
258|914
524|897
600|338
958|559
912|690
394|148
325|343
729|886
609|105
192|196
412|383
128|3
749|603
207|507
4|947
17|602
396|267
170|807
261|276
871|324
273|115
321|295
524|187
932|518
451|545
806|614
40|120
609|884
920|143
852|146
212|962
992|169
10|988
180|240
269|446
580|671
262|285
85|753
201|422
116|903
39|23
490|69
997|276
589|715
752|376
428|7
15|576
52|694
805|897
796|460
495|267
486|398
144|451
921|69
677|36
620|709
823|821
356|409
688|230
366|178
762|656
883|792
308|322
281|79
585|295
467|475
403|218
467|47
546|859
568|966
909|755
805|197
549|146
508|86
548|954
448|370
260|997
760|636
990|857
765|94
779|922
636|983
32|963
417|18
771|212
816|905
689|623
799|332
394|941
407|724
986|309
615|370
552|590
97|495
632|648
448|447
932|100
628|114
351|938
366|131
700|904
357|45
105|863
120|643
884|85
328|610
212|519
691|509
543|624
774|377
412|251
131|606
757|421
293|305
825|118
650|703
62|348
645|196
181|1000
553|572
577|674
742|803
100|332
585|832
971|839
572|486
671|346
513|441
611|30
770|102
325|317
378|121
69|392
359|126
755|605
745|812
478|635
233|255
753|450
987|397
225|325
304|38
790|255
797|76
318|207
794|906
224|469
340|289
243|655
992|682
140|15
999|369
35|77
687|60
437|472
411|542
650|380
964|470
259|889
844|792
258|197
434|265
402|486
875|602
955|45
530|926
759|64
577|395
394|827
150|443
264|342
163|617
569|407
828|370
729|23
180|239
37|969
405|603
623|562
733|666
987|752
255|314
884|574
76|663
649|562
890|429
680|695
628|12
833|196
405|342
500|528
522|394
445|646
154|673
59|144
323|615
621|555
912|990
170|706
190|186
294|491
602|699
240|100
398|585
639|847
342|412
953|33
53|309
749|288
25|211
114|683
9|101
426|725
2|738
311|428
220|333
871|346
939|50
94|244
119|77
534|292
130|643
993|590
161|643
64|605
638|892
589|773
396|587
924|861
351|721
507|953
681|371
875|118
479|183
287|507
606|57
688|224
480|606
505|533
765|686
411|357
482|453
892|301
153|614
481|792
308|635
